GRUPO;TIENDA;CUPON;GANADOR;CLIENTE;FECHA;FACTURA;TOTAL;NRO_SORTEO;
1;1;1488;GANADOR;1-16915;14-MAY-14;T1: (A) 10-123680;2708.88;20140514122659600;
1;1;1250;SUPLENTE 1;1-455556;14-MAY-14;T1: (B) 7-128319;2642.7;20140514122659600;
1;1;2430;SUPLENTE 2;1-18420;14-MAY-14;T1: (A) 10-123683;2781.99;20140514122659600;
1;1;1957;SUPLENTE 3;1-33359;14-MAY-14;T1: (A) 3-133262;4236.06;20140514122659600;
1;2;3180;GANADOR;2-59972;14-MAY-14;T2: (B) 7-128280;3184.62;20140514122659600;
1;2;2997;SUPLENTE 1;2-26459;14-MAY-14;T2: (B) 11-131334;3679.93;20140514122659600;
1;2;3946;SUPLENTE 2;2-117039;14-MAY-14;T2: (A) 2-124628;2712.25;20140514122659600;
1;2;3385;SUPLENTE 3;2-919939;14-MAY-14;T2: (B) 2-128912;7299.07;20140514122659600;
2;1;2;GANADOR;1-27146;14-MAY-14;T1: (A) 15-126342;2891.55;20140514122659600;
2;1;23;SUPLENTE 1;1-27115;14-MAY-14;T1: (B) 4-130535;6848.21;20140514122659600;
2;1;16;SUPLENTE 2;1-27149;14-MAY-14;T1: (A) 19-128011;6632.43;20140514122659600;
2;1;12;SUPLENTE 3;1-27107;14-MAY-14;T1: (A) 4-122687;4974.94;20140514122659600;
2;2;48;GANADOR;2-142322;14-MAY-14;T2: (B) 7-128313;3485.97;20140514122659600;
2;2;29;SUPLENTE 1;2-142367;14-MAY-14;T2: (B) 2-130091;3386.45;20140514122659600;
2;2;40;SUPLENTE 2;2-142188;14-MAY-14;T2: (A) 3-122511;2790.98;20140514122659600;
2;2;45;SUPLENTE 3;2-142170;14-MAY-14;T2: (A) 3-122501;5267.94;20140514122659600;
